itemprop,valid_text,valid,text,href,status,check,page,title,url,load
structOrgUprav,"Контент в `text` не соответствует описанию в `check`. Вот почему:
1. `text` упоминает общее собрание техникума и требует указания адреса, сайта и электронной почты техникума.
2. `check` требует наличие на официальном сайте информации о структуре и органах управления образовательной организацией в подразделе «Структура и органы управления образовательной организацией».
Таким образом, информация в `text` не соответствует требованиям, описанным в `check`.",True,"
1
Общее собрание техникума
–
–
Указать адрес техникума
Указать сайт техникума
Указать электронную почту
Положение
",https://disk.yandex.ru/i/3j_09eeFpd0tIA,ok,Главный тег. Наличие на официальном сайте в подразделе «Структура и органы управления образовательной организацией» информации о структуре и органах управления образовательной организацией,21,Структура и органы управления образовательной организацией,/sveden/struct,True
name,Соответствует.,True,Наименование органа управления / структурного подразделения,,ok,О наименовании структурного подразделения (органа управления),21,Структура и органы управления образовательной организацией,/sveden/struct,True
fio,Соответствует,True,ФИО руководителя структурного подразделения,,ok,"О фамилиях, именах, отчествах (при наличии) руководителей структурных подразделений",21,Структура и органы управления образовательной организацией,/sveden/struct,False
post,Соответствует,True,Должность руководителя структурного подразделения,,ok,О должности руководителя структурного подразделения,21,Структура и органы управления образовательной организацией,/sveden/struct,False
addressStr,"Контент text не соответствует описанию в check. Вот почему:
- Text: ""Адрес местонахождения структурного подразделения"" — это просто указание на факт наличия адреса местонахождения структурного подразделения.
- Check: ""О месте нахождения структурных подразделений"" — это более широкое и общительное описание, которое может включать не только адреса, но и другие аспекты, связанные с местонахождением структурных подразделений.
Таким образом, текст не полностью соответствует описанию в check.",True,Адрес местонахождения структурного подразделения,,ok,О месте нахождения структурных подразделений,21,Структура и органы управления образовательной организацией,/sveden/struct,False
site,"Контент text не соответствует описанию в check. Причина: в тексте не указано, что речь идет об адресах официальных сайтов в сети «Интернет» структурных подразделений. Текст просто упоминает адрес официального сайта структурного подразделения без уточнения, что это адрес в интернете.",True,Адрес официального сайта структурного подразделения,,ok,Об адресах официальных сайтов в сети «Интернет» структурных подразделений (при наличии),21,Структура и органы управления образовательной организацией,/sveden/struct,False
email,Соответствует,True,Адреса электронной почты структурного подразделения,,ok,Об адресах электронной почты структурных подразделений (при наличии),21,Структура и органы управления образовательной организацией,/sveden/struct,False
divisionClauseDocLink,"Контент text не соответствует check. В check указано на наличие положений о структурных подразделениях в виде электронного документа, подписанного простой электронной подписью в соответствии с Федеральным законом от 6 апреля 2011 г. № 63-ФЗ «Об электронной подписи». В text же не упоминается ни о формате документа (электронном), ни о подписи (простой электронной подписи), ни о соответствии Федеральному закону.",True,Положение об органе управления/ о структурном подразделении,,ok,"О наличии положений о структурных подразделениях в виде электронного документа, подписанного простой электронной подписью в соответствии с Федеральным законом от 6 апреля 2011 г. № 63-ФЗ «Об электронной подписи» (далее соответственно – электронный документ)",22,Структура и органы управления образовательной организацией,/sveden/struct,True
fullName,Соответствует,True,Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский-на-Дону гидрометеорологический техникум»,,ok,О полном наименовании образовательной организации,14,Основные сведения,/sveden/common,False
regDate,"Контент text (""1931 год"") не соответствует описанию в check (""О дате создания образовательной организации""). В тексте указана только дата, но не уточняется, что эта дата относится к созданию образовательной организации.",True,1931 год,,ok,О дате создания образовательной организации,14,Основные сведения,/sveden/common,False
